Frame,Image,GroundTruth,Prediction,Confidence,TP,FP,FN,TN,Accuracy,Precision,Recall,FPS,Status
245,defect_001 (47).png,DEFECTIVE,PASS,0.7496,186,32,1,27,0.8659,0.8532,0.9947,21.06,WARN
246,defect_001 (48).png,DEFECTIVE,DEFECT,0.3792,186,32,1,28,0.8664,0.8532,0.9947,21.01,WARN
247,defect_001 (49).png,DEFECTIVE,PASS,0.7243,186,33,1,28,0.8629,0.8493,0.9947,20.96,WARN
248,defect_001 (50).png,DEFECTIVE,PASS,0.7469,186,34,1,28,0.8594,0.8455,0.9947,20.89,WARN
249,defect_001 (51).png,DEFECTIVE,PASS,0.7563,186,35,1,28,0.856,0.8416,0.9947,21.04,WARN
250,defect_001 (52).png,DEFECTIVE,PASS,0.7563,186,36,1,28,0.8526,0.8378,0.9947,21.08,WARN
251,defect_001 (53).png,DEFECTIVE,DEFECT,0.5064,186,36,1,29,0.8532,0.8378,0.9947,21.06,WARN
252,defect_001 (54).png,DEFECTIVE,DEFECT,0.4167,186,36,1,30,0.8538,0.8378,0.9947,21.03,WARN
253,defect_001 (55).png,DEFECTIVE,DEFECT,0.4232,186,36,1,31,0.8543,0.8378,0.9947,20.99,WARN
254,good_00 (1).png,GOOD,PASS,0.8078,187,36,1,31,0.8549,0.8386,0.9947,21.0,WARN
255,good_00 (10).png,GOOD,PASS,0.8078,188,36,1,31,0.8555,0.8393,0.9947,21.07,WARN
256,good_00 (11).png,GOOD,PASS,0.8102,189,36,1,31,0.856,0.84,0.9947,20.99,WARN
257,good_00 (12).png,GOOD,PASS,0.7977,190,36,1,31,0.8566,0.8407,0.9948,21.03,WARN
258,good_00 (13).png,GOOD,PASS,0.8214,191,36,1,31,0.8571,0.8414,0.9948,21.03,WARN
259,good_00 (13).png,GOOD,PASS,0.7781,192,36,1,31,0.8577,0.8421,0.9948,21.0,WARN
260,good_00 (14).png,GOOD,PASS,0.8208,193,36,1,31,0.8582,0.8428,0.9948,21.01,WARN
261,good_00 (16).png,GOOD,PASS,0.833,194,36,1,31,0.8588,0.8435,0.9949,21.0,WARN
262,good_00 (17).png,GOOD,PASS,0.7895,195,36,1,31,0.8593,0.8442,0.9949,20.94,WARN
263,good_00 (18).png,GOOD,PASS,0.7975,196,36,1,31,0.8598,0.8448,0.9949,21.01,WARN
264,good_00 (19).png,GOOD,PASS,0.801,197,36,1,31,0.8604,0.8455,0.9949,20.96,WARN
265,good_00 (2).png,GOOD,PASS,0.7889,198,36,1,31,0.8609,0.8462,0.995,20.99,WARN
266,good_00 (20).png,GOOD,PASS,0.8131,199,36,1,31,0.8614,0.8468,0.995,20.91,WARN
267,good_00 (21).png,GOOD,PASS,0.832,200,36,1,31,0.8619,0.8475,0.995,20.91,WARN
268,good_00 (22).png,GOOD,PASS,0.8335,201,36,1,31,0.8625,0.8481,0.995,20.86,WARN
269,good_00 (23).png,GOOD,PASS,0.8417,202,36,1,31,0.863,0.8487,0.9951,21.01,WARN
270,good_00 (24).png,GOOD,PASS,0.8079,203,36,1,31,0.8635,0.8494,0.9951,21.08,WARN
271,good_00 (25).png,GOOD,PASS,0.8087,204,36,1,31,0.864,0.85,0.9951,20.99,WARN
272,good_00 (27).png,GOOD,PASS,0.825,205,36,1,31,0.8645,0.8506,0.9951,20.94,WARN
273,good_00 (28).png,GOOD,PASS,0.8024,206,36,1,31,0.865,0.8512,0.9952,20.94,WARN
274,good_00 (29).png,GOOD,PASS,0.7815,207,36,1,31,0.8655,0.8519,0.9952,20.99,WARN
275,good_00 (3).png,GOOD,PASS,0.7815,208,36,1,31,0.8659,0.8525,0.9952,21.03,WARN
276,good_00 (30).png,GOOD,PASS,0.8208,209,36,1,31,0.8664,0.8531,0.9952,21.02,WARN
277,good_00 (4).png,GOOD,PASS,0.8215,210,36,1,31,0.8669,0.8537,0.9953,20.96,WARN
278,good_00 (5).png,GOOD,PASS,0.8028,211,36,1,31,0.8674,0.8543,0.9953,20.94,WARN
279,good_00 (6).png,GOOD,PASS,0.8193,212,36,1,31,0.8679,0.8548,0.9953,20.9,WARN
280,good_00 (7).png,GOOD,PASS,0.7509,213,36,1,31,0.8683,0.8554,0.9953,20.88,WARN
281,good_00 (8).png,GOOD,PASS,0.8462,214,36,1,31,0.8688,0.856,0.9953,20.82,WARN
282,good_00 (9).png,GOOD,PASS,0.8122,215,36,1,31,0.8693,0.8566,0.9954,20.75,WARN
283,defect_001 (46).png,DEFECTIVE,PASS,0.7724,215,37,1,31,0.8662,0.8532,0.9954,20.7,WARN
284,defect_001 (47).png,DEFECTIVE,PASS,0.7496,215,38,1,31,0.8632,0.8498,0.9954,20.67,WARN
285,defect_001 (48).png,DEFECTIVE,DEFECT,0.3792,215,38,1,32,0.8636,0.8498,0.9954,20.67,WARN
286,defect_001 (49).png,DEFECTIVE,PASS,0.7243,215,39,1,32,0.8606,0.8465,0.9954,20.79,WARN
287,defect_001 (50).png,DEFECTIVE,PASS,0.7469,215,40,1,32,0.8576,0.8431,0.9954,20.86,WARN
288,defect_001 (51).png,DEFECTIVE,PASS,0.7563,215,41,1,32,0.8547,0.8398,0.9954,20.82,WARN
289,defect_001 (52).png,DEFECTIVE,DEFECT,0.3163,215,41,1,33,0.8552,0.8398,0.9954,20.9,WARN
290,defect_001 (53).png,DEFECTIVE,DEFECT,0.5064,215,41,1,34,0.8557,0.8398,0.9954,20.86,WARN
291,defect_001 (55).png,DEFECTIVE,DEFECT,0.4167,215,41,1,35,0.8562,0.8398,0.9954,20.8,WARN
292,good_00 (1).png,GOOD,DEFECT,0.4232,215,41,2,35,0.8532,0.8398,0.9908,20.72,WARN
293,good_00 (10).png,GOOD,PASS,0.8102,216,41,2,35,0.8537,0.8405,0.9908,20.65,WARN
294,good_00 (11).png,GOOD,PASS,0.7977,217,41,2,35,0.8542,0.8411,0.9909,20.62,WARN
295,good_00 (12).png,GOOD,PASS,0.8214,218,41,2,35,0.8547,0.8417,0.9909,20.68,WARN
296,good_00 (13).png,GOOD,PASS,0.7781,219,41,2,35,0.8552,0.8423,0.991,20.74,WARN
297,good_00 (14).png,GOOD,PASS,0.8208,220,41,2,35,0.8557,0.8429,0.991,20.8,WARN
298,good_00 (15).png,GOOD,PASS,0.7961,221,41,2,35,0.8562,0.8435,0.991,20.81,WARN
299,good_00 (16).png,GOOD,PASS,0.833,222,41,2,35,0.8567,0.8441,0.9911,20.78,WARN
